file	status
SPIRAL_ANALYSE.yaml	YAML_ERROR: ScannerError
STRATEGIC_EMOTIONALIZATION.yaml	OK
STYLE_SYNC_MARKER.yaml	OK
STYLE_SYNC_SEM.yaml	OK
SUBTLE_TERRITORIAL_MARKER.yaml	OK
SWAYING_MARKER.yaml	OK
SYSTEM_TURNING_CLUSTER.yaml_MARKER.yaml	OK
SYSTEM_TURNING_POINT.yaml_MARKER.yaml	OK
S_ACTION_ORIENTED_SPEECH.yaml	YAML_ERROR: ParserError
S_AMBIVALENT_ATTACHMENT_SPEECH_MARKER.yaml	YAML_ERROR: ScannerError
S_ANXIOUS_CHILDHOOD_REF_MARKER.yaml	YAML_ERROR: ScannerError
S_AVOIDANT_CHILDHOOD_REF_MARKER.yaml	YAML_ERROR: ScannerError
S_BLAME_SHIFT_EXPRESSIONS_MARKER.yaml	YAML_ERROR: ScannerError
S_BLAME_SHIFT_RESPONSE_MARKER.yaml	YAML_ERROR: ScannerError
S_CARING_FRIEND_EXPRESSIONS_MARKER.yaml	YAML_ERROR: ScannerError
S_CIRCULAR_ARGUMENT_MARKER.yaml	OK
S_CRITICISM_DEFENSIVENESS_LOOP_MARKER.yaml	YAML_ERROR: ParserError
S_DESTRUCTIVE_CRITICISM_MARKER.yaml	OK
S_EMO_CONTRAST_DRIFT.yaml	YAML_ERROR: ScannerError
S_EMO_CONTRAST_DRIFT_MARKER.yaml	YAML_ERROR: ScannerError
S_EMO_MEAN_LOW_MARKER.yaml	YAML_ERROR: ScannerError
S_EMO_SLOPE_DOWN_MARKER.yaml	YAML_ERROR: ScannerError
S_EMO_SLOPE_UP_MARKER.yaml	YAML_ERROR: ScannerError
S_EMO_VOLATILE_WINDOW_MARKER.yaml	YAML_ERROR: ScannerError
S_EXPLICIT_CONNECTION.yaml	YAML_ERROR: ParserError
S_FIRST_TIME_DEPTH_MARKER.yaml	YAML_ERROR: ParserError
S_GUILT_TWIST_MARKER.yaml	OK
S_HELPLESSNESS.yaml	OK
S_HIGH_PERSON_DENSIT_MARKER.yaml	YAML_ERROR: ParserError
S_HIGH_PRESSURE_DEMAND_MARKER.yaml	OK
S_HIGH_SIMILARITY_DUPLICATE_MARKER.yaml	YAML_ERROR: ParserError
S_HOPEFUL_DRIVING_TONE.yaml	YAML_ERROR: ParserError
S_INITIATIVE_GEMEINSAME_ZUKUNFT_MARKER.yaml	OK
S_INTERACTIVE_STONEWALLING_MARKER.yaml	YAML_ERROR: ParserError
S_PASSIVE_AGGRESSIVE_ATTACK_MARKER.yaml	OK
S_PASSIVE_AGGRESSIVE_WITHDRAWAL_MARKER.yaml	YAML_ERROR: ParserError
S_POSITIVE_INITIATIVE.yaml	YAML_ERROR: ParserError
S_POSITIVE_RESONANCE_ON_PET_NAME_MARKER.yaml	YAML_ERROR: ParserError
S_POWER_PLAY_MARKER.yaml	OK
S_RECONCILIATION.yaml	OK
S_RESONANCE_TACTICS_MARKER.yaml	OK
S_RESONANZ_AUF_KOSENAME_MARKER.yaml	YAML_ERROR: ParserError
S_RESPONSIBILITY_SHIFT_MARKER.yaml	YAML_ERROR: ScannerError
S_SECURE_CHILDHOOD_REF_MARKER.yaml	YAML_ERROR: ScannerError
S_SUSTAINED_CONTACT_MARKER.yaml	YAML_ERROR: ScannerError
TERMINATION_MARKER.yaml	OK
TOMS_Erweiterte_Marker.yaml	OK
TOPIC_SHIFT_SEM_MARKER.yaml	OK
TRANSLATION_ARTIFACT.yaml	OK
UNCERTAINTY_MARKER.yaml	OK
UNCLEAR_INTESION_MARKER.yaml	OK
UNTRACEABLE_PAYMENT_METHOD.yaml	OK
URGENCY_SCARCITY.yaml	OK
VALUE_DYNAMICS_LEVELS 2.yaml	OK
VALUE_DYNAMICS_LEVELS.yaml	OK
WEBCAM_EXCUSE.yaml	OK
WEBCAM_EXCUSE_MARKER.yaml	OK
WEIGHTS_FOR_TEXT_MARKER.yaml	OK
WITH_OPEN(PATH,_"R",_ENCODING="UTF-8")_AS_F_MARKER.yaml	OK
_HIGH_LOC_DENSITY_MARKER.yaml	YAML_ERROR: ParserError
emotional_withdraw 2.yaml	OK
enhanced_marker_config 2.yaml	OK
fraud_markers.yaml	OK
gitignore.yaml	OK
kommunikationsmarker_ident.yaml	OK
mark01.yaml	OK
mark02.yaml	OK
mark03.yaml	OK
mark04.yaml	OK
mark05.yaml	OK
marker_emotionaler_rueckzugsdruck.yaml	OK
marker_rollen_rotation.yaml	OK
marker_sarkasmus.yaml	OK
marker_set_beziehung.yaml	OK
meta_marker_definitions.yaml	OK
pyproject_toml.yaml	OK
requirements_txt.yaml	OK
roles_rotation_rules_semantic_grep.yaml	OK
sarkasm_in_EW.yaml	OK
sarkasm_in_ironic_statements.yaml	OK
selbst_evaluative_muster.yaml	OK
spannungen_rueckzug.yaml	OK
streitmarker.yaml	OK
verbindungsmarker.yaml	OK
verhalten_verlustangst_bindungsangst.yaml	OK
verhaltens_score_kalkulieren.yaml	OK
versöhnungsmarker.yaml	OK
vorwurfsmarker.yaml	OK
widerspruchsmarker.yaml	OK
wutmarker.yaml	OK
zweifelmarker.yaml	OK
